iter	Passed	Remaining
0	149	149040
1	151	75439
2	153	50917
3	155	38611
4	159	31735
5	161	26716
6	162	23122
7	164	20401
8	166	18306
9	168	16641
10	170	15291
11	172	14193
12	174	13256
13	176	12460
14	179	11759
15	181	11137
16	183	10585
17	185	10130
18	187	9706
19	190	9329
20	193	9003
21	195	8684
22	197	8375
23	198	8092
24	200	7833
25	202	7593
26	204	7366
27	206	7168
28	208	6976
29	210	6800
30	212	6631
31	213	6471
32	215	6315
33	217	6169
34	218	6035
35	220	5915
36	222	5792
37	223	5664
38	225	5548
39	226	5444
40	228	5338
41	229	5240
42	230	5138
43	232	5059
44	235	4988
45	236	4911
46	238	4833
47	239	4752
48	241	4693
49	243	4625
50	245	4560
51	246	4493
52	248	4447
53	250	4389
54	251	4317
55	252	4260
56	254	4209
57	255	4152
58	257	4102
59	258	4043
60	258	3986
61	260	3933
62	260	3881
63	262	3833
64	263	3788
65	265	3759
66	267	3725
67	269	3689
68	270	3653
69	272	3623
70	275	3603
71	277	3581
72	279	3553
73	282	3532
74	284	3510
75	287	3492
76	289	3467
77	291	3447
78	296	3455
79	298	3433
80	301	3416
81	303	3398
82	304	3366
83	307	3355
84	309	3332
85	311	3308
86	312	3283
87	314	3258
88	315	3232
89	316	3205
90	318	3181
91	320	3159
92	321	3137
93	323	3115
94	324	3091
95	325	3068
96	326	3042
97	328	3020
98	329	2997
99	330	2975
100	332	2955
101	333	2932
102	334	2917
103	336	2898
104	337	2875
105	338	2853
106	339	2830
107	340	2809
108	340	2787
109	342	2767
110	342	2745
111	343	2723
112	344	2702
113	345	2681
114	345	2661
115	346	2641
116	347	2620
117	348	2602
118	349	2584
119	349	2566
120	350	2549
121	351	2531
122	352	2515
123	353	2498
124	354	2480
125	355	2463
126	355	2445
127	356	2430
128	357	2414
129	358	2399
130	359	2383
131	360	2368
132	360	2352
133	361	2337
134	362	2325
135	364	2313
136	365	2299
137	366	2288
138	367	2277
139	368	2264
140	369	2251
141	370	2236
142	371	2223
143	371	2211
144	372	2198
145	373	2185
146	374	2171
147	375	2159
148	375	2146
149	376	2134
150	377	2122
151	378	2110
152	379	2099
153	379	2087
154	380	2075
155	381	2064
156	382	2052
157	383	2041
158	383	2030
